message,user,date
YOUCANT DONT BRONG THAT GUY UP CHAT STFU,cyniciewinikie,"2023-12-07 12:23:51,280"
Pivo Baiting ass chatter,coffinspired,"2023-12-07 12:23:51,613"
dealer farmer,gressenhelleresc,"2023-12-07 12:23:51,806"
who?,zigsithexarkun,"2023-12-07 12:23:51,852"
Turkey tom is drama nazi channel,barskiog,"2023-12-07 12:23:52,711"
"@hasanabi Zelenski is coming to the inauguration of Milei, the ""anarcho-capitalist/libertarian"" new president of Argentina. Thought you should know",sunrose8,"2023-12-07 12:23:53,075"
AintNoWay imagine taking turkey tom seriously,mortjester,"2023-12-07 12:23:53,913"
turkeyturd,doemeater,"2023-12-07 12:23:54,529"
Wh OMEGALUL,weakestoffliner,"2023-12-07 12:23:54,585"
Danki the sandwitch from jimmy johns?,bizzk3t,"2023-12-07 12:23:55,411"
WH OMEGALUL,amandalepre,"2023-12-07 12:23:55,528"
@BetelJuice +2,wihby,"2023-12-07 12:23:56,074"
WH OMEGALUL,middleagejeezy,"2023-12-07 12:23:56,339"
WH OMEGALUL,justredx_,"2023-12-07 12:23:56,502"
Turkey T OMEGALUL M,ellietinybelly,"2023-12-07 12:23:56,588"
"is what's he's saying I think
""
",classysmile101,"2023-12-07 12:23:57,500"
turkey tom is a 4chan loser who wants to pivot to youtube drama boy,treesbeesknees,"2023-12-07 12:23:57,677"
hasNerd context,dirtorbust,"2023-12-07 12:23:57,746"
@BetelJuice KEKL,niceharris,"2023-12-07 12:23:57,966"
Yes you do ass,billysdojo,"2023-12-07 12:23:58,143"
MCSjohnny just re-subbed for 42 months! POGGIES,fossabot,"2023-12-07 12:23:58,312"
nawh turkey tom be delulu,jackmanifolhatesme1,"2023-12-07 12:23:58,475"
Mario nevaro,quikplayz,"2023-12-07 12:23:59,639"
DO NOT ENGAGE,juicybussy36,"2023-12-07 12:23:59,926"
Commentary Youtuber KEKW,woswa1d,"2023-12-07 12:24:00,083"
youre right on the money,enby_dee,"2023-12-07 12:24:00,194"
random youtubers are trying to get view bumps,datdudeqthulu,"2023-12-07 12:24:01,900"
Pivo,aisleofcommunism,"2023-12-07 12:24:02,825"
"video essayist shit people shouldn't watch too much yt too seriously
""
",radicalaaron,"2023-12-07 12:24:03,365"
@eevee_sprinkle hasL hasL hasL,britknee420,"2023-12-07 12:24:03,694"
W H OMEGALUL,estragal,"2023-12-07 12:24:04,363"
"BetelJuice, widepeepoHappy 🌈 Hi bestie Flowerr para ti",yuubii__,"2023-12-07 12:24:04,392"
Turkey Tom is a POS drama YouTuber. Fuck him!!!!,uhvatilamehuja,"2023-12-07 12:24:04,392"
Not a fair take...,xiamercer,"2023-12-07 12:24:04,788"
Tim Pool calling for civil war every week,ridersonthestorm,"2023-12-07 12:24:06,819"
"Don't care what every weirdo has to say, lol
""
",simuser,"2023-12-07 12:24:07,277"
Mhm,obscure_one_,"2023-12-07 12:24:07,481"
Yeah all they do is just click chimp and then have their dumb fans come in here,nateking12,"2023-12-07 12:24:07,513"
I heard Big Bird was talking shit too,soggyburrito,"2023-12-07 12:24:07,608"
"He's a weird right wing racist troll fuck the drama bitches @HasanAbi
""
",veggietableh,"2023-12-07 12:24:09,195"
Ancient Rantsona Pissant,inkypoison,"2023-12-07 12:24:09,973"
"Kk,",roombaka,"2023-12-07 12:24:10,034"
turkey tom OMEGALUL drama farmer,moenie_was_here,"2023-12-07 12:24:10,425"
"toxicsjw, widepeepoHappy <3 hi bestie",yuubii__,"2023-12-07 12:24:11,107"
@HasanAbi https://twitter.com/mattlieb/status/1732325744225959940 did you see this banger,bortcobain,"2023-12-07 12:24:11,617"
ya they totally misrepresent what you say,h3llworld,"2023-12-07 12:24:11,941"
just got scammed outta 12k today for a car. just glad to be here with the fam. love yal,madeovhate,"2023-12-07 12:24:12,160"
